1,John 3:16,"For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life. ","This is how much God loved the world: He gave his Son, his one and only Son. And this is why: so that no one need be destroyed; by believing in him, anyone can have a whole and lasting life.
","For God so greatly loved and dearly prized the world that He [even] gave up His only begotten ( unique) Son, so that whoever believes in (trusts in, clings to, relies on) Him shall not perish (come to destruction, be lost) but have eternal (everlasting) life.
",love,no
2,Luke 6:31,"And as ye would that men should do to you, do ye also to them likewise.","Here is a simple rule of thumb for behavior: Ask yourself what you want people to do for you; then grab the initiative and do it for them
","And as you would like and desire that men would do to you, do exactly so to them.
",love,no
3,1 Corinthians 13:3,"And though I bestow all my goods to feed the poor, and though I give my body to be burned, and have not charity, it profiteth me nothing.","If I give everything I own to the poor and even go to the stake to be burned as a martyr, but I don't love, I've gotten nowhere. So, no matter what I say, what I believe, and what I do, I'm bankrupt without love. ","Even if I dole out all that I have [to the poor in providing] food, and if I surrender my body to be burned or in order that I may glory, but have not love (God's love in me), I gain nothing.
",love,no
4,1 Corinthians 13:4-5,"Charity suffereth long, and is kind; charity envieth not; charity vaunteth not itself, is not puffed up,

Doth not behave itself unseemly, seeketh not her own, is not easily provoked, thinketh no evil;
","Love never gives up. Love cares more for others than for self. Love doesn't want what it doesn't have. Love doesn't strut, Doesn't have a swelled head, Doesn't force itself on others, Isn't always ""me first,"" Doesn't fly off the handle, Doesn't keep score of the sins of others
","Love endures long and is patient and kind; love never is envious nor boils over with jealousy, is not boastful or vainglorious, does not display itself haughtily. 

It is not conceited (arrogant and inflated with pride); it is not rude (unmannerly) and does not act unbecomingly. Love (God's love in us) does not insist on its own rights or its own way, for it is not self-seeking; it is not touchy or fretful or resentful; it takes no account of the evil done to it [it pays no attention to a suffered wrong].
",love,no
5,1 Corinthians 16:14,Let all your things be done with charity.,and love without stopping.,"Let everything you do be done in love (true love to God and man as inspired by God's love for us).
",love,no
6,Psalms 143:8,Cause me to hear thy lovingkindness in the morning; for in thee do I trust: cause me to know the way wherein I should walk; for I lift up my soul unto thee.,"If you wake me each morning with the sound of your loving voice, I'll go to sleep each night trusting in you. Point out the road I must travel; I'm all ears, all eyes before you. ","Cause me to hear Your loving-kindness in the morning, for on You do I lean and in You do I trust. Cause me to know the way wherein I should walk, for I lift up my inner self to You.",love,no
7,Proverbs 3:3-4,"3 Let not mercy and truth forsake thee: bind them about thy neck; write them upon the table of thine heart:

4 So shalt thou find favour and good understanding in the sight of God and man.
",3 Don't lose your grip on Love and Loyalty. Tie them around your neck; carve their initials on your heart. 4 Earn a reputation for living well in God's eyes and the eyes of the people. ,"3 Let not mercy and kindness [shutting out all hatred and selfishness] and truth [shutting out all deliberate hypocrisy or falsehood] forsake you; bind them about your neck, write them upon the tablet of your heart.  

4 So shall you find favor, good understanding, and high esteem in the sight [or judgment] of God and man. ",love,no
8,Colossians 3:14,"And above all these things put on charity, which is the bond of perfectness.","And regardless of what else you put on, wear love. It's your basic, all-purpose garment. Never be without it. ",And above all these [put on] love and enfold yourselves with the bond of perfectness [which binds everything together completely in ideal harmony].,love,no
9,1 John 4:16,"And we have known and believed the love that God hath to us. God is love; and he that dwelleth in love dwelleth in God, and God in him.","We know it so well, we've embraced it heart and soul, this love that comes from God.","And we know (understand, recognize, are conscious of, by observation and by experience) and believe (adhere to and put faith in and rely on) the love God cherishes for us. God is love, and he who dwells and continues in love dwells and continues in God, and God dwells and continues in him. ",love,no
10,Ephesians 4:2,"With all lowliness and meekness, with longsuffering, forbearing one another in love;","And mark that you do this with humility and discipline — not in fits and starts, but steadily, pouring yourselves out for each other in acts of love","Living as becomes you] with complete lowliness of mind (humility) and meekness (unselfishness, gentleness, mildness), with patience, bearing with one another and making allowances because you love one another.",love,no
11,1 John 4:19,"We love him, because he first loved us.","We, though, are going to love - love and be loved. First we were loved, now we love. He loved us first. ","We love Him, because He first loved us.",love,no
12,1 Peter 4:8,And above all things have fervent charity among yourselves: for charity shall cover the multitude of sins.,"Most of all, love each other as if your life depended on it. Love makes up for practically anything.","Above all things have intense and unfailing love for one another, for love covers a multitude of sins [forgives and disregards the offenses of others].",love,no
13,Ephesians 3:17-18,"17 That Christ may dwell in your hearts by faith; that ye, being rooted and grounded in love,

18 May be able to comprehend with all saints what is the breadth, and length, and depth, and height;","17 that Christ will live in you as you open the door and invite him in. And I ask him that with both feet planted firmly on love, 18 you'll be able to take in with all Christians the extravagant dimensions of Christ's love. Reach out and experience the breadth! Test its length! Plumb the depths! Rise to the heights!","
17 May Christ through your faith [actually] dwell (settle down, abide, make His permanent home) in your hearts! May you be rooted deep in love and founded securely on love, 

18 That you may have the power and be strong to apprehend and grasp with all the saints [God's devoted people, the experience of that love] what is the breadth and length and height and depth [of it];",love,no
14,Ephesians 4:26-27,"26 Be ye angry, and sin not: let not the sun go down upon your wrath:

27 Neither give place to the devil.",26 Go ahead and be angry. You do well to be angry — but don't use your anger as fuel for revenge. And don't stay angry. Don't go to bed angry. 27 Don't give the Devil that kind of foothold in your life.,"26 When angry, do not sin; do not ever let your wrath (your exasperation, your fury or indignation) last until the sun goes down. 

27 Leave no [such] room or foothold for the devil [give no opportunity to him]. ",anger,no
15,Proverbs 10:12,Hatred stirreth up strifes: but love covereth all sins.,"Hatred starts fights,
but love pulls a quilt over the bickering. ","Hatred stirs up contentions, but love covers all transgressions. ",anger,no
16,James 1:19,"Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:","Post this at all the intersections, dear friends: Lead with your ears, follow up with your tongue, and let anger straggle along in the rear. ","Understand [this], my beloved brethren. Let every man be quick to hear [a ready listener], slow to speak, slow to take offense and to get angry.",anger,no
17,Leviticus 19:17-18,"17 Thou shalt not hate thy brother in thine heart: thou shalt in any wise rebuke thy neighbour, and not suffer sin upon him.

18 Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbour as thyself: I am the Lord.","17 ""Don't secretly hate your neighbor. If you have something against him, get it out into the open; otherwise you are an accomplice in his guilt. 

18 ""Don't seek revenge or carry a grudge against any of your people.","
17 You shall not hate your brother in your heart; but you shall surely rebuke your neighbor, lest you incur sin because of him.
18 You shall not take revenge or bear any grudge against the sons of your people, but you shall love your neighbor as yourself. I am the Lord.",anger,no
18,Proverbs 15:1,A soft answer turneth away wrath: but grievous words stir up anger.,"A gentle response defuses anger,
but a sharp tongue kindles a temper-fire.","A SOFT answer turns away wrath, but grievous words stir up anger. ",anger,no
19,Proverbs 14:29,He that is slow to wrath is of great understanding: but he that is hasty of spirit exalteth folly.,"Slowness to anger makes for deep understanding;
a quick-tempered person stockpiles stupidity.","He who is slow to anger has great understanding, but he who is hasty of spirit exposes and exalts his folly. ",anger,no
20,Proverbs 13:10,Only by pride cometh contention: but with the well advised is wisdom.,"Arrogant know-it-alls stir up discord,
but wise men and women listen to each other's counsel.","By pride and insolence comes only contention, but with the well-advised is skillful and godly Wisdom. ",anger,no
21,Proverbs 20:3,It is an honour for a man to cease from strife: but every fool will be meddling.,"It's a mark of good character to avert quarrels,
but fools love to pick fights.","It is an honor for a man to cease from strife and keep aloof from it, but every fool will quarrel.",anger,no
22,Mark 7:20-23,"20 And he said, That which cometh out of the man, that defileth the man.

21 For from within, out of the heart of men, proceed evil thoughts, adulteries, fornications, murders,

22 Thefts, covetousness, wickedness, deceit, lasciviousness, an evil eye, blasphemy, pride, foolishness:

23 All these evil things come from within, and defile the man.","20 He went on: ""It's what comes out of a person that pollutes: 21 obscenities, lusts, thefts, murders, adulteries, 22 greed, depravity, deceptive dealings, carousing, mean looks, slander, arrogance, foolishness —   23 all these are vomit from the heart. There is the source of your pollution.""","20 And He said, What comes out of a man is what makes a man unclean and renders [him] unhallowed. 

21 For from within, [that is] out of the hearts of men, come base and wicked thoughts, sexual immorality, stealing, murder, adultery, 

22 Coveting (a greedy desire to have more wealth), dangerous and destructive wickedness, deceit; unrestrained (indecent) conduct; an evil eye (envy), slander (evil speaking, malicious misrepresentation, abusiveness), pride ( the sin of an uplifted heart against God and man), foolishness (folly, lack of sense, recklessness, thoughtlessness). 

23 All these evil [purposes and desires] come from within, and they make the man unclean and render him unhallowed.",anger,no
23,Jeremiah 3:12,"Go and proclaim these words toward the north, and say, Return, thou backsliding Israel, saith the Lord; and I will not cause mine anger to fall upon you: for I am merciful, saith the Lord, and I will not keep anger for ever.","Go and preach this message. Face north toward Israel and say:
""'Turn back, fickle Israel. I'm not just hanging back to punish you. I'm committed in love to you. My anger doesn't seethe nonstop.","Go and proclaim these words toward the north [where the ten tribes have been taken as captives] and say, Return, faithless Israel, says the Lord, and I will not cause My countenance to fall and look in anger upon you, for I am merciful, says the Lord; I will not keep My anger forever.",anger,no
24,James 1:20,For the wrath of man worketh not the righteousness of God.,"God's righteousness doesn't grow from human anger.
",For man's anger does not promote the righteousness God [wishes and requires]. ,anger,no
25,Colossians 3:8,"But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.","But you know better now, so make sure it's all gone for good: bad temper, irritability, meanness, profanity, dirty talk. ","But now put away and rid yourselves [completely] of all these things: anger, rage, bad feeling toward others, curses and slander, and foulmouthed abuse and shameful utterances from your lips! ",anger,no
26,Psalms 37:8,"Cease from anger, and forsake wrath: fret not thyself in any wise to do evil.","Bridle your anger, trash your wrath,
cool your pipes — it only makes things worse.",Cease from anger and forsake wrath; fret not yourself — it tends only to evildoing. ,anger,no
