Anger,anger
Anxiety,anxiety
Abortion,abortion
Addiction,addiction
Adultery,adultery
Believing,believing
Betrayal,betrayal
Change,change
Community,community
Compassion,compassion
Confidence,confidence
Contentment,contentment
Courage,courage
Endurance,endurance
Enemies,enemies
Evil,evil
Faith,faith
Family,family
Fasting,fasting
Fear,fear
Food,food
Forgiveness,forgiveness
Friendship,friendship
Generosity,generosity
Gentleness,gentleness
Giving,giving
Goodness,goodness
Gossip,gossip
Gratitude,
Greed,
Healing,
Health,
Heaven,
